tamanho,banheiros,quartos,preco
0.4171,0.2,0.6667,0.303068
0.66,0.4,0.6667,0.504602
0.8914,0.4,1.0,0.68098
0.7686,0.8,0.5,0.577996
0.48,1.0,0.1667,0.381301
0.7343,0.2,0.8333,0.552644
0.9286,0.4,0.3333,0.692495
0.2914,0.8,0.5,0.232375
0.6829,0.6,0.6667,0.535543
0.2343,0.4,0.6667,0.22422
0.5343,1.0,0.5,0.401599
0.6657,1.0,0.1667,0.492754
0.2086,0.6,0.5,0.177127
0.1143,0.2,0.6667,0.131071
0.2686,0.2,0.1667,0.201961
0.5571,0.8,0.1667,0.396386
0.3943,0.6,0.1667,0.299706
0.2229,0.2,1.0,0.187506
0.8343,0.8,0.8333,0.627004
0.6143,0.6,1.0,0.509638
0.8314,0.4,0.6667,0.601552
0.7514,1.0,0.6667,0.566219
0.6629,0.6,0.3333,0.515518
0.5429,0.6,0.3333,0.424258
0.5829,0.2,0.5,0.418497
0.4057,1.0,0.6667,0.362654
0.58,0.6,1.0,0.473757
0.3514,0.6,0.3333,0.268058
0.8429,0.8,0.6667,0.638436
0.28,0.6,0.6667,0.254043
0.8286,0.6,0.3333,0.612837
0.6571,1.0,0.5,0.518463
0.2743,0.6,0.3333,0.200277
0.2257,0.8,0.3333,0.184816
0.1543,0.4,0.1667,0.143092
0.7857,0.8,0.8333,0.620452
0.4686,0.4,0.8333,0.366394
0.7371,0.8,0.3333,0.548821
0.8,0.2,0.5,0.575308
0.8686,1.0,1.0,0.676038
0.5286,1.0,0.8333,0.412735
0.2543,1.0,1.0,0.236811
0.58,0.4,1.0,0.472857
0.5943,0.6,1.0,0.457228
0.3686,0.2,0.8333,0.301208
0.5143,0.6,0.3333,0.383834
0.2086,0.8,0.1667,0.152076
0.1086,0.8,0.1667,0.104488
0.1343,0.8,0.1667,0.112201
0.4171,0.6,0.3333,0.331566
0.2429,0.6,0.6667,0.201285
0.5657,0.8,0.5,0.43148
0.28,0.8,0.5,0.234795
0.4771,0.6,0.3333,0.364821
0.1457,1.0,0.6667,0.133981
0.9743,0.6,1.0,0.73296
0.8457,0.2,0.5,0.627354
0.1057,0.4,0.3333,0.108559
0.96,0.4,0.3333,0.714762
0.3571,0.8,0.3333,0.299701
0.2143,0.2,0.5,0.161236
0.1714,0.4,0.8333,0.184907
0.6286,0.6,1.0,0.524234
0.1771,0.6,0.5,0.14521
0.5114,0.6,0.5,0.38445
0.24,0.8,1.0,0.250171
0.8286,1.0,0.6667,0.627592
0.1457,0.6,0.5,0.125105
0.6543,0.6,0.6667,0.525212
0.2486,1.0,0.5,0.199813
0.2829,0.6,0.6667,0.261044
0.6057,0.8,1.0,0.494129
0.7971,1.0,0.1667,0.594189
0.6086,0.6,0.6667,0.448407
0.3429,0.2,0.8333,0.278576
0.2971,0.2,0.3333,0.220216
0.4857,0.8,0.1667,0.346331
0.1743,0.8,0.5,0.146063
0.5571,1.0,0.1667,0.405482
0.14,0.4,0.1667,0.139839
0.9057,0.4,0.3333,0.657005
0.7,0.6,0.5,0.541505
0.8771,0.8,0.3333,0.635374
0.5914,0.4,0.5,0.440489
0.2229,0.6,0.1667,0.16514
0.4657,0.8,0.3333,0.345653
0.3971,0.4,1.0,0.346069
1.0,0.8,0.1667,0.749474
0.4771,0.2,1.0,0.364017
0.0943,0.2,0.3333,0.075578
0.6943,0.6,0.1667,0.495851
0.5343,0.6,0.1667,0.419818
0.8486,0.6,0.3333,0.625764
0.2771,1.0,0.3333,0.255622
0.7771,0.8,0.1667,0.568464
0.7257,0.8,1.0,0.59405
0.8771,0.2,1.0,0.644475
0.76,1.0,0.3333,0.590525
0.5257,0.4,0.6667,0.391528
0.34,0.8,0.3333,0.268307
0.7543,1.0,0.5,0.571627
0.3286,0.6,0.1667,0.26908
0.6686,0.8,0.8333,0.522215
0.5543,0.4,0.1667,0.405168
0.3229,0.8,0.6667,0.26661
0.6143,0.6,0.8333,0.479448
0.9171,0.6,0.6667,0.697204
0.7686,0.4,0.5,0.589609
0.3657,0.4,0.1667,0.292801
0.3686,0.8,0.8333,0.311736
0.0857,0.2,1.0,0.133009
0.2486,0.6,0.6667,0.212517
0.3971,0.2,0.3333,0.297824
0.1229,0.8,0.8333,0.159848
0.8857,0.8,0.8333,0.666818
0.1,1.0,0.1667,0.087723
0.5086,0.4,0.5,0.411894
0.2714,0.6,0.5,0.224149
0.1714,0.2,0.6667,0.17709
0.7286,0.2,1.0,0.537242
0.6143,1.0,0.3333,0.467169
0.7343,1.0,0.6667,0.558215
0.2343,0.2,0.5,0.185623
0.7914,0.8,0.1667,0.596367
0.8257,0.6,0.8333,0.60709
0.8029,0.2,1.0,0.625262
0.26,0.2,0.5,0.203007
0.98,0.4,0.6667,0.740385
0.7286,1.0,0.6667,0.549937
0.6314,0.2,1.0,0.50002
0.92,0.4,0.8333,0.702213
0.6857,0.8,0.6667,0.554561
0.3286,0.4,0.1667,0.271867
0.2257,1.0,1.0,0.23826
0.3057,0.4,1.0,0.255819
0.62,1.0,0.6667,0.47427
0.5829,0.2,1.0,0.439557
0.3514,0.2,0.3333,0.287296
0.96,0.8,1.0,0.754053
0.9114,0.2,0.5,0.641297
0.9429,0.2,1.0,0.724352
0.78,0.4,0.1667,0.559136
0.2371,1.0,1.0,0.21878
0.26,0.8,0.1667,0.192333
0.6657,0.8,0.8333,0.52365
0.6114,0.8,0.5,0.453919
0.24,0.4,0.6667,0.204436
0.5543,0.8,1.0,0.452771
0.8286,1.0,0.6667,0.619146
0.1,0.6,0.8333,0.137971
0.7429,0.4,1.0,0.562091
0.1943,0.2,0.3333,0.13171
0.8171,1.0,0.8333,0.612422
0.9257,0.8,0.3333,0.673691
0.4029,0.8,0.6667,0.336006
0.24,0.4,0.1667,0.172968
0.26,0.6,0.8333,0.22972
0.2371,0.8,0.1667,0.21499
0.4343,0.4,0.5,0.323186
0.42,0.2,0.6667,0.326775
0.1257,1.0,0.8333,0.142921
0.1629,1.0,0.5,0.157752
0.3543,0.6,0.6667,0.298791
0.9429,0.2,0.3333,0.702597
0.8343,0.8,0.8333,0.626502
0.8457,0.4,0.6667,0.61761
0.76,1.0,0.5,0.596824
0.4343,0.4,0.8333,0.357285
0.4,0.6,0.6667,0.343454
0.88,0.8,1.0,0.6792
0.2143,0.4,1.0,0.186464
0.56,1.0,0.6667,0.444101
0.72,1.0,0.6667,0.534068
0.1629,0.2,0.3333,0.115979
0.1971,1.0,0.8333,0.178319
0.5714,0.2,0.1667,0.399523
0.9029,0.6,0.3333,0.660441
0.5657,0.8,1.0,0.466758
0.7657,0.6,0.6667,0.5732
0.3057,1.0,1.0,0.272774
0.2543,0.2,0.5,0.184747
0.1143,0.6,0.8333,0.148926
0.3457,0.8,0.6667,0.270906
0.6514,1.0,0.5,0.489248
0.2057,0.2,0.5,0.196089
0.2257,0.8,1.0,0.231296
0.3771,0.4,0.3333,0.310559
0.7114,0.2,1.0,0.530896
0.2143,0.4,0.3333,0.172781
0.3829,0.4,0.8333,0.304049
0.5771,0.8,1.0,0.481556
